,ConsentNo,ConsentStatus,fmDate,toDate,HolderAddressFullName,HolderEcanID,ChildAuthorisations,ParentAuthorisations,ParentorChild,ParentChildConsent,CWMSZone,AdMan,TotalInspections,LatestInspection,CountNonCompliance,LatestNonComplianceDate,WAPsOnConsent,CombinedConProRataRate,WAP,WellStatus,SharedMeter,MaxRateSharedWAP,CombinedWAPProRataRate,ConsentsOnWAP,ECsOnWAP,MetersInstalled,DataLoggersInstalled,LatestVerification,VerificationOutOfDate,WaiverEditDate,Waiver,T_AnnualVolume,T_LatestData,T_DaysOfData,T_MetersRecieved,T_AverageDaysOfData,T_AverageMissingDays,WAPProject,Activity,ConsentAnnualVol,ConsentRate,ConsentNVol,ConsentNDay,FishScreen,ComplexAllocations,HasALowflowRestrictionCondition,ConsentLimit,WAPRate,MaxRateProRata,WAPFromMonth,WAPToMonth,WAPNVol,WAPNDay,WAPLimit,FEVolume,CS_ID,CS_ErrorMSG,CS_DaysAboveNday,CS_PercentAnnualVolume,CS_TimeAboveRate,CS_MaxRate,CS_MedianRateAbove,CS_PercentMaxRate,CS_PercentMedRate,WS_ID,WS_MeterName,WS_ErrorMsg,WS_DaysAboveNday,WS_TimeAboveRate,WS_MaxRate,WS_MedianRateAbove,TotalMissingRecord,WS_PercentMaxRoT,WS_PercentMedRate
32,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2790,Active,No,20.0,20.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,20.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26238.0,K37/2789-M1,No data for K37/2790.,,,,,,,
33,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2786,Active,No,56.0,56.0,1,1,1.0,1.0,2019-01-22,No,,,1324356.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,56.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26234.0,K37/2786-M1,,364.0,1810.0985500595305,95.85937499999993,61.59322602129339,0.010416666666666666,171.17745535714272,109.98790360945247
34,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2789,Active,No,100.0,100.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,100.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26237.0,K37/2789-M1,No data for BY20/0087.,,,,,,,
35,CRC169502,Issued - Active,2016-07-05,2032-02-27,Ashburton District Council,EC117558,,CRC165320,nan, ,Ashburton,,4.0,2019-08-20,3.0,2019-03-20,13,2931.0,K37/2793,Active,No,30.0,30.0,1,1,,1.0,,,,,,,,,,365.0,,take surface water,0.0,2931.0,0.0,0.0,NO,"Multiple water permit types (Take, Divert, Dam)",No,1,30.0,,Jul,Jun,,,1,37985760.0,22962,,,,0.0,1101.9034395217834,,37.59479493421301,,26240.0,K37/2793-M1,No data for K37/2792.,,,,,,,
36,CRC172924,Issued - Active,2016-12-13,2031-11-18,Ngai Tahu Farming Limited,EC363816,,CRC169707,nan, ,Waimakariri,,2.0,2018-11-22,0.0,,1,3360.0,L35/1090,Active,Yes,3360.0,3360.0,1,1,,,,,,No,,,,,,365.0,,take surface water,42374886.0,3360.0,0.0,0.0,YES,Multiple allocation blocks,Yes,1,3360.0,,Jul,Jun,,,1,42374886.0,20345,No data for L35/1090-M1+L35/1090-M1,,,,,,,,22096.0,,No data for L35/1090.,,,,,,,
37,CRC172924,Issued - Active,2016-12-13,2031-11-18,Ngai Tahu Farming Limited,EC363816,,CRC169707,nan, ,Waimakariri,,2.0,2018-11-22,0.0,,1,3360.0,L35/1090,Active,Yes,3360.0,3360.0,1,1,,,,,,No,,,,,,365.0,,take surface water,42374886.0,3360.0,0.0,0.0,YES,Multiple allocation blocks,Yes,1,3360.0,,Jul,Jun,,,1,42374886.0,20345,No data for L35/1090-M1+L35/1090-M1,,,,,,,,22097.0,,No data for L35/1090.,,,,,,,
38,CRC172958,Issued - Active,2016-10-31,2031-12-19,Trustpower Limited,EC373739,,CRC960811.2,nan, ,Selwyn - Waihora,,2.0,2017-03-02,0.0,,1,30000.0,K34/0019,Active,No,30000.0,30000.0,1,1,,,,,,,,,,,,365.0,,take surface water,0.0,30000.0,0.0,0.0,NO,No,Yes,1,30000.0,,Jul,Jun,,,1,943488000.0,20840,No data for K34/0019-M1,,,,,,,,22843.0,,No data for K34/0019.,,,,,,,
39,CRC173064,Issued - Active,2016-10-28,2031-12-19,Trustpower Limited,EC373739,,CRC960822.2,nan, ,Selwyn - Waihora,,3.0,2018-11-23,0.0,,1,50000.0,K34/0020,Active,No,50000.0,50000.0,1,1,1.0,1.0,,,,,,,,,,365.0,,take surface water,0.0,50000.0,0.0,0.0,Yes,"Unclear/poorly constructed conditions (purpose, wording, structure)",No,1,50000.0,,Jul,Jun,,,1,1572480000.0,21883,"No data from  1-Jul-2018 00:00:00 to  1-Jul-2019 00:00:00: Take Rate Allocation for K34/0020-M1 = 50000.00 l/s
",,,,,,,,24391.0,K34/0020-M1,"No data from  1-Jul-2018 00:00:00 to  1-Jul-2019 00:00:00: Take Rate Allocation for K34/0020-M1 = 50000.00 l/s
",,,,,,,
40,CRC173079,Issued - Active,2016-10-28,2031-12-19,Trustpower Limited,EC373739,CRC182582,CRC960828.4,nan, ,Selwyn - Waihora,,4.0,2018-11-23,0.0,,1,40000.0,K34/0021,Active,No,40000.0,40000.0,1,1,1.0,1.0,,,,,,,,1.0,,365.0,,take surface water,0.0,40000.0,0.0,0.0,No,No,No,1,40000.0,,Jul,Jun,,,1,1257984000.0,24012,,,,0.0,35528.645833333336,,88.82161458333334,,27831.0,K34/0021-M1,,64.0,0.0,0.0,0.0,1.0,0.0,0.0
41,CRC173115,Issued - Active,2016-10-28,2031-12-19,Trustpower Limited,EC373739,,CRC960849.2,nan, ,Selwyn - Waihora,,4.0,2018-11-29,0.0,,1,39100.0,K35/0036,Active,No,39100.0,39100.0,1,1,1.0,1.0,,,,,,,,1.0,,365.0,,take surface water,0.0,39100.0,,,No,No,Yes,1,39100.0,,Jul,Jun,,,1,1229679360.0,25616,,,,477.52102341983056,39525.74074074076,39461.38451657917,101.08885099933698,100.92425707565005,30426.0,K35/0036-M1,,364.0,477.52102341983056,39525.74074074076,39461.38451657917,1.0,101.08885099933698,100.92425707565005
42,CRC173172,Issued - Active,2016-10-28,2031-12-19,Trustpower Limited,EC373739,,CRC960844.2,nan, ,Selwyn - Waihora,,4.0,2018-11-29,0.0,,1,4800.0,K35/0035,Active,No,4800.0,4800.0,1,1,1.0,1.0,,,,,,,,1.0,,365.0,,take surface water,0.0,4800.0,0.0,0.0,Yes,No,No,1,4800.0,,Jul,Jun,,,1,150958080.0,20839,"No data from  1-Jul-2018 00:00:00 to  1-Jul-2019 00:00:00: Take Rate Allocation for K35/0035-M1 = 4800.00 l/s
",,,,,,,,22842.0,K35/0035-M1,"No data from  1-Jul-2018 00:00:00 to  1-Jul-2019 00:00:00: Take Rate Allocation for K35/0035-M1 = 4800.00 l/s
",,,,,,,
43,CRC175118,Issued - Active,2017-06-15,2047-07-25,Central Plains Water Trust,EC107911,,CRC170594,nan, ,Selwyn - Waihora,,2.0,2017-12-07,0.0,,2,24000.0,BW22/0092,Inactive,No,2000.0,1846.0,1,1,1.0,1.0,,,,No,,,,,,365.0,,take surface water,0.0,24000.0,0.0,0.0,NO,Poor Conditions,Yes,1,2000.0,,Jul,Jun,,,1,0.0,17438,No data for N34/0361.,,,,,,,,17714.0,L35/1145-M1,No data for BW22/0092.,,,,,,,
44,CRC175118,Issued - Active,2017-06-15,2047-07-25,Central Plains Water Trust,EC107911,,CRC170594,nan, ,Selwyn - Waihora,,2.0,2017-12-07,0.0,,2,24000.0,L35/1145,Active,No,24000.0,22154.0,1,1,1.0,1.0,,,,No,,,,1.0,,365.0,,take surface water,0.0,24000.0,0.0,0.0,NO,Poor Conditions,Yes,1,24000.0,,Jul,Jun,,,1,0.0,17438,No data for N34/0361.,,,,,,,,17715.0,L35/1145-M1,No data for BW22/0092.,,,,,,,
45,CRC176489,Issued - Active,2017-06-14,2033-03-25,Amuri Irrigation Company Limited,EC115655,,CRC172843,nan, ,Hurunui - Waiau,,2.0,2018-12-05,0.0,,1,2416.0,N32/0345,Active,Yes,2416.0,2416.0,1,1,1.0,1.0,2017-02-24,No,,,,,,,,365.0,,take surface water,0.0,2416.0,0.0,0.0,YES,Poor Conditions,Yes,1,2416.0,,Jul,Jun,,,1,44820000.0,23980,No data for BY22/0037.,,,,,,,,27773.0,N32/0345-M1,No data for BY22/0037.,,,,,,,
46,CRC180528,Issued - Active,2017-09-08,2028-04-30,"Morven, Glenavy Ikawai Irrigation Company Limited",EC116610,,CRC897381C.2,nan, ,Lower Waitaki - South Coastal Canterbury,,1.0,2018-07-04,0.0,,1,14300.0,J41/0198,Active,No,14300.0,14300.0,1,1,1.0,1.0,2013-02-05,Yes,,No,293266151.0,2019-06-30,365.0,1.0,365.0,0.0,Pending Data Cleaning Project,take surface water,330000000.0,14300.0,0.0,0.0,NO,Poor Conditions,Yes,1,14300.0,,May,Sep,,,1,330000000.0,21856,,,,0.0,4158.5761108398465,,29.080951824054868,,24349.0,J41/0198-M1,,256.0,0.0,4158.5761108398465,0.0,7.052083333333333,29.080951824054868,0.0
47,CRC180532,Issued - Active,2017-09-08,2030-03-02,Lower Waitaki Irrigation Company Limited,EC115638,,CRC950649.1,nan, ,Lower Waitaki - South Coastal Canterbury,,2.0,2019-04-09,0.0,,2,27000.0,CB18/5011,Active,No,8220.0,8220.0,1,1,1.0,1.0,2017-09-08,No,,No,25767705.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,27000.0,0.0,0.0,YES,No,Yes,1,8220.0,,Jul,Jun,,,1,98853994.0,18409,,,,0.0,21737.34195285365,,80.50867389945796,,19145.0,CB18/5011-M1,,364.0,0.0,6171.111111111111,0.0,0.010416666666666666,75.07434441741012,0.0
48,CRC180532,Issued - Active,2017-09-08,2030-03-02,Lower Waitaki Irrigation Company Limited,EC115638,,CRC950649.1,nan, ,Lower Waitaki - South Coastal Canterbury,,2.0,2019-04-09,0.0,,2,27000.0,J41/0191,Active,No,18780.0,18780.0,1,1,2.0,2.0,2019-07-17,No,,No,213477735.0,2019-06-29,364.0,2.0,182.0,183.0,,take surface water,0.0,27000.0,0.0,0.0,YES,No,Yes,1,18780.0,,Jul,Jun,,,1,98853994.0,18409,,,,0.0,21737.34195285365,,80.50867389945796,,19146.0,J41/0191-M1,,365.0,0.0,16236.737915039073,0.0,0.0,86.45760338146471,0.0
49,CRC180558,Issued - Active,2017-09-08,2045-05-21,Waihao Downs Irrigation,EC108499,,CRC164368,nan, ,Lower Waitaki - South Coastal Canterbury,,2.0,2018-08-29,0.0,,1,3060.0,J40/1015,Active,No,3060.0,3060.0,1,1,,,,,,No,,,,,,365.0,,take surface water,38000000.0,3060.0,264384.0,1.0,YES,No,Yes,1,3060.0,3060.0,Jul,Jun,264384.0,1,1,38000000.0,20316,No data for J40/1015-M1,,,,,,,,22048.0,,No data for J40/1015.,,,,,,,
50,CRC182542,Issued - Active,2007-01-31,2042-01-31,Rangitata Diversion Race Management Limited,EC114929,,CRC011237,nan, ,Ashburton,,2.0,2018-11-09,0.0,,1,61400.0,J36/0016,Active,No,30700.0,61400.0,1,1,1.0,1.0,2019-08-04,No,,No,800207940.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,30700.0,0.0,0.0,YES,Multiple allocation blocks,Yes,1,16900.0,,Sep,May,,,1,309553920.0,25568,,,,8687.942616449065,98952.54528808582,79704.28833038147,322.3209944237323,259.6230890240439,30348.0,J36/0016-M1,,365.0,8002.560284098784,32984.18176269532,27580.88090690088,0.0,195.17267315204333,163.20047873905844
51,CRC182542,Issued - Active,2007-01-31,2042-01-31,Rangitata Diversion Race Management Limited,EC114929,,CRC011237,nan, ,Ashburton,,2.0,2018-11-09,0.0,,1,61400.0,J36/0016,Active,No,30700.0,61400.0,1,1,1.0,1.0,2019-08-04,No,,No,800207940.0,2019-06-29,364.0,1.0,364.0,1.0,,take surface water,0.0,30700.0,0.0,0.0,YES,Multiple allocation blocks,Yes,1,30700.0,,Jun,Aug,,,1,309553920.0,25568,,,,8687.942616449065,98952.54528808582,79704.28833038147,322.3209944237323,259.6230890240439,30350.0,J36/0016-M1,,365.0,386.50161307877966,32984.18176269532,30784.83013979853,0.0,107.44033147457759,100.27631967361086
52,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,BX23/0228,Active,No,34.72,34.72,1,1,1.0,1.0,2015-06-15,No,,No,1104661.0,2019-06-30,354.0,1.0,354.0,11.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,34.72,34.72,Jul,Jun,20999.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30126.0,BX23/0228-M1,,308.0,8331.33302256253,63.751320309109154,37.497664140703705,0.0,183.61555388568306,108.00018473704984
53,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,BX24/0153,Active,No,64.81,64.81,1,1,1.0,1.0,2019-08-20,No,,No,75382.0,2019-06-30,352.0,1.0,352.0,13.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,64.81,64.81,Jul,Jun,39197.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30129.0,BX24/0153-M1,,0.0,0.0,35.481529235839844,0.0,0.0,54.74699774084222,0.0
54,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,BX24/0189,Active,No,24.25,24.25,1,1,1.0,1.0,2017-07-14,No,,No,257485.0,2019-06-29,234.0,1.0,234.0,131.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,24.25,24.25,Jul,Jun,14666.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30132.0,BX24/0189-M1,,13.0,1011.8268997572528,27.544304529825844,25.16918165964023,0.0,113.58476094773545,103.79043983356797
55,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,BX24/0192,Active,No,28.33,28.33,1,1,1.0,1.0,2017-07-11,No,,No,2870.0,2019-06-30,247.0,1.0,247.0,118.0,Pending Data Cleaning Project,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,28.33,28.33,Jul,Jun,17133.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30135.0,BX24/0192-M1,,0.0,6.498123431073295,47.682270473904076,36.797569321875926,212.67708333333331,168.31016757467023,129.88905514252005
56,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,BX24/0412,Active,No,52.08,52.08,1,1,1.0,1.0,2017-06-30,No,,No,117734.0,2019-06-30,346.0,1.0,346.0,19.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,52.08,52.08,Jul,Jun,31498.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30142.0,BX24/0412-M1,,0.0,0.0,43.6971812778049,0.0,0.0,83.90395790669145,0.0
57,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,BX24/0533,Active,No,29.76,29.76,1,1,,,,,2019-01-28 12:10:00,Yes,,,,,,365.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,29.76,29.76,Jul,Jun,17999.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30145.0,BX24/0457-M1,No data for BX24/0533.,,,,,,,
58,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,BX24/0625,Active,No,38.03,38.03,1,1,1.0,,,,2019-01-28 12:06:00,Yes,,,,1.0,,365.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,38.03,38.03,Jul,Jun,23000.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30148.0,BX24/0625-M1,No data for BX24/0533.,,,,,,,
59,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,BX24/0993,Active,No,34.72,34.72,1,1,1.0,1.0,2016-05-04,No,,No,87327.0,2019-06-30,354.0,1.0,354.0,11.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,34.72,34.72,Jul,Jun,20999.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30151.0,BX24/0993-M1,,0.0,41.11396927740839,39.54608705308702,35.7420655210575,0.0,113.90002031419073,102.94373709981998
60,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/10632,Active,No,57.87,57.87,1,1,1.0,1.0,2017-04-28,No,,No,45666.0,2019-06-30,352.0,1.0,352.0,13.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,57.87,57.87,Jul,Jun,35000.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30158.0,M35/10632-M1,,0.0,0.0,36.10863897535536,0.0,0.0,62.39612748462997,0.0
61,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/1475,Active,No,62.75,62.75,1,1,1.0,1.0,2015-10-13,No,,No,649386.0,2019-06-29,351.0,1.0,351.0,14.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,62.75,62.75,Jul,Jun,37951.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30161.0,M35/1475-M1,,0.0,0.0,61.22345182630751,0.0,0.0,97.56725390646615,0.0
62,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/1554,Active,No,40.51,40.51,1,1,1.0,1.0,,,,No,8375.0,2019-06-30,67.0,1.0,67.0,298.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,40.51,40.51,Jul,Jun,24500.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30164.0,M35/1554-M1,,0.0,0.0,27.656619813707138,0.0,298.59375,68.27109309727756,0.0
63,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/1864,Active,No,21.67,21.67,1,1,1.0,1.0,2017-12-04,No,,No,375830.0,2019-06-30,351.0,1.0,351.0,14.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,21.67,21.67,Jul,Jun,13104.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30171.0,M35/1864-M1,,8.0,3541.523362821076,427.44017468558417,26.187488325732602,0.0,1972.4973451111402,120.84673892816151
64,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/1870,Active,No,23.15,23.15,1,1,1.0,1.0,2017-06-28,No,,No,42794.0,2019-06-30,353.0,1.0,353.0,12.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,23.15,23.15,Jul,Jun,14000.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30174.0,M35/1870-M1,,0.0,266.7121501321263,37.81236224704318,33.01277841612159,0.0,163.33633800018654,142.60379445408896
65,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/18734,Active,No,41.44,41.44,1,1,1.0,1.0,2019-08-21,No,,No,53910.0,2019-06-30,352.0,1.0,352.0,13.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,41.44,41.44,Jul,Jun,25060.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30177.0,M35/18734-M1,,7.0,9.605895921654172,6937.920464409722,165.82620748392037,0.0,16742.086062764774,400.1597670944024
66,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/1976,Inactive,No,23.15,23.15,1,1,,,,,,No,,,,,,365.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,23.15,23.15,Jul,Jun,14000.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30180.0,M35/1945-M1,No data for M35/1976.,,,,,,,
67,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/2270,Active,No,35.0,35.0,1,1,1.0,1.0,2017-06-30,No,,No,791585.0,2019-06-30,353.0,1.0,353.0,12.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,35.0,35.0,Jul,Jun,21168.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30187.0,M35/2270-M1,,5.0,903.4376635881265,39.93194686041938,35.50332802376215,0.0,114.09127674405536,101.43808006789186
68,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/2274,Active,Yes,50.15,50.15,1,1,,1.0,,,,No,800504.0,2019-06-30,352.0,1.0,352.0,13.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,50.15,50.15,Jul,Jun,30331.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30190.0,M35/2274-M1,,17.0,1816.5114871267479,169.16778564453125,69.32347524639181,0.0,337.3236004875997,138.23225373158886
69,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/2403,Active,No,23.15,23.15,1,1,1.0,1.0,,,,No,42794.0,2019-06-30,353.0,1.0,353.0,12.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,23.15,23.15,Jul,Jun,14000.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30193.0,M35/2403-M1,,0.0,266.7121501321263,37.81236224704318,33.01277841612159,0.0,163.33633800018654,142.60379445408896
70,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/2554,Active,No,61.73,61.73,1,1,1.0,1.0,2017-06-13,No,,No,690674.0,2019-06-30,352.0,1.0,352.0,13.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,61.73,61.73,Jul,Jun,37333.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30196.0,M35/2554-M1,,0.0,0.0,56.29432678222656,0.0,0.0,91.19443833181042,0.0
71,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/2790,Active,No,28.94,28.94,1,1,1.0,1.0,2013-05-15,Yes,,No,116879.0,2019-06-30,353.0,1.0,353.0,12.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,28.94,28.94,Jul,Jun,17500.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30203.0,M35/2790-M1,,9.0,779.8798145335251,68.20085525512695,44.52941670189887,0.0,235.66294144826173,153.86806047649918
72,CRC191331,Issued - Active,2018-10-30,2033-09-30,Christchurch City Council,EC366614,CRC194217,CRC180837,Parent,CRC180837,Christchurch - West Melton,,4.0,2019-10-07,1.0,2019-07-15,153,6798.329999999996,M35/3446,Active,No,71.76,71.76,1,1,1.0,1.0,2017-05-22,No,,No,11235.0,2019-06-30,352.0,1.0,352.0,13.0,,take groundwater,73654978.0,6879.0,4160621.0,7.0,No,Poor Conditions,Complex,1,71.76,71.76,Jul,Jun,43400.0,7,1,73654978.0,25529,Too many meters in the consent.  The maximum is 100,,,,,,,,30206.0,M35/3446-M1,,0.0,0.0,31.092149946424694,0.0,0.0,43.327968152765735,0.0
